QUESTION_ID,model_version,checkpoint,dialogue,tone_pair1,approach_pair1,format_pair1,logic_pair1,tone_pair2,approach_pair2,format_pair2,logic_pair2
1,train_yam,checkpoint-100,dialogue_train_yam_checkpoint-100_76_20250212_204208.json,2,4,4,3,2,1,4,2
2,train_yam,checkpoint-100,dialogue_train_yam_checkpoint-100_77_20250212_204228.json,2,3,2,3,2,3,2,4
3,train_yam,checkpoint-100,dialogue_train_yam_checkpoint-100_78_20250212_204250.json,3,4,4,4,3,4,4,4
4,train_yam,checkpoint-100,dialogue_train_yam_checkpoint-100_79_20250212_204311.json,2,4,2,4,1,2,2,3
5,train_yam,checkpoint-100,dialogue_train_yam_checkpoint-100_80_20250212_204332.json,2,3,2,3,2,1,2,1
6,train_yam,checkpoint-100,dialogue_train_yam_checkpoint-100_81_20250212_204351.json,2,1,1,1,3,3,1,3
1,train_yam,checkpoint-300,dialogue_train_yam_checkpoint-300_76_20250212_204407.json,3,3,4,3,3,4,4,4
2,train_yam,checkpoint-300,dialogue_train_yam_checkpoint-300_77_20250212_204427.json,2,4,3,4,4,4,3,4
3,train_yam,checkpoint-300,dialogue_train_yam_checkpoint-300_78_20250212_204445.json,4,4,4,4,4,4,4,4
4,train_yam,checkpoint-300,dialogue_train_yam_checkpoint-300_79_20250212_204500.json,4,3,4,3,2,3,4,4
5,train_yam,checkpoint-300,dialogue_train_yam_checkpoint-300_80_20250212_204514.json,4,4,3,4,4,4,3,4
6,train_yam,checkpoint-300,dialogue_train_yam_checkpoint-300_81_20250212_204528.json,4,3,4,4,4,4,4,4
1,train_yam,checkpoint-500,dialogue_train_yam_checkpoint-500_76_20250212_204541.json,3,4,4,4,3,3,1,3
2,train_yam,checkpoint-500,dialogue_train_yam_checkpoint-500_77_20250212_204604.json,4,4,3,4,3,3,2,3
3,train_yam,checkpoint-500,dialogue_train_yam_checkpoint-500_78_20250212_204622.json,4,4,4,4,3,4,4,4
4,train_yam,checkpoint-500,dialogue_train_yam_checkpoint-500_79_20250212_204640.json,4,4,3,4,3,3,4,3
5,train_yam,checkpoint-500,dialogue_train_yam_checkpoint-500_80_20250212_204653.json,4,3,4,4,4,4,4,4
6,train_yam,checkpoint-500,dialogue_train_yam_checkpoint-500_81_20250212_204707.json,4,4,4,4,4,3,4,2
1,train_yam,checkpoint-700,dialogue_train_yam_checkpoint-700_76_20250212_204722.json,4,4,3,4,3,4,3,4
2,train_yam,checkpoint-700,dialogue_train_yam_checkpoint-700_77_20250212_204743.json,4,4,3,4,4,4,3,4
3,train_yam,checkpoint-700,dialogue_train_yam_checkpoint-700_78_20250212_204802.json,2,3,4,4,3,4,4,4
4,train_yam,checkpoint-700,dialogue_train_yam_checkpoint-700_79_20250212_204821.json,3,4,4,4,3,4,3,4
5,train_yam,checkpoint-700,dialogue_train_yam_checkpoint-700_80_20250212_204838.json,3,3,4,3,4,4,4,4
6,train_yam,checkpoint-700,dialogue_train_yam_checkpoint-700_81_20250212_204857.json,4,4,3,4,3,3,3,3
1,train_yam,checkpoint-990,dialogue_train_yam_checkpoint-990_76_20250212_204921.json,4,4,3,3,4,3,2,4
2,train_yam,checkpoint-990,dialogue_train_yam_checkpoint-990_77_20250212_204936.json,4,4,4,4,4,3,4,3
3,train_yam,checkpoint-990,dialogue_train_yam_checkpoint-990_78_20250212_204950.json,4,3,4,3,3,4,4,4
4,train_yam,checkpoint-990,dialogue_train_yam_checkpoint-990_79_20250212_205005.json,4,3,4,4,4,4,4,4
5,train_yam,checkpoint-990,dialogue_train_yam_checkpoint-990_80_20250212_205022.json,4,4,4,4,4,3,4,3
6,train_yam,checkpoint-990,dialogue_train_yam_checkpoint-990_81_20250212_205038.json,4,4,4,4,2,3,4,3
1,train_nam,checkpoint-100,dialogue_train_nam_checkpoint-100_76_20250212_205054.json,3,4,4,4,3,4,4,3
2,train_nam,checkpoint-100,dialogue_train_nam_checkpoint-100_77_20250212_205107.json,1,2,3,1,1,1,3,2
3,train_nam,checkpoint-100,dialogue_train_nam_checkpoint-100_78_20250212_205122.json,3,3,4,3,2,2,4,2
4,train_nam,checkpoint-100,dialogue_train_nam_checkpoint-100_79_20250212_205140.json,2,4,3,4,3,4,3,4
5,train_nam,checkpoint-100,dialogue_train_nam_checkpoint-100_80_20250212_205153.json,0,0,3,1,0,0,0,0
6,train_nam,checkpoint-100,dialogue_train_nam_checkpoint-100_81_20250212_205213.json,4,3,3,4,1,3,1,3
1,train_nam,checkpoint-300,dialogue_train_nam_checkpoint-300_76_20250212_205236.json,4,4,4,4,3,3,4,3
2,train_nam,checkpoint-300,dialogue_train_nam_checkpoint-300_77_20250212_205312.json,3,3,2,1,3,3,2,3
3,train_nam,checkpoint-300,dialogue_train_nam_checkpoint-300_78_20250212_205338.json,3,3,4,4,4,4,4,3
4,train_nam,checkpoint-300,dialogue_train_nam_checkpoint-300_79_20250212_205400.json,3,4,4,4,3,3,4,4
5,train_nam,checkpoint-300,dialogue_train_nam_checkpoint-300_80_20250212_205436.json,4,4,4,4,3,3,4,3
6,train_nam,checkpoint-300,dialogue_train_nam_checkpoint-300_81_20250212_205459.json,4,4,4,4,3,4,4,4
1,train_nam,checkpoint-500,dialogue_train_nam_checkpoint-500_76_20250212_205522.json,2,3,4,3,3,4,4,4
2,train_nam,checkpoint-500,dialogue_train_nam_checkpoint-500_77_20250212_205540.json,4,4,4,4,4,4,4,4
3,train_nam,checkpoint-500,dialogue_train_nam_checkpoint-500_78_20250212_205612.json,4,3,4,3,3,4,4,4
4,train_nam,checkpoint-500,dialogue_train_nam_checkpoint-500_79_20250212_205632.json,4,4,4,4,3,4,4,4
5,train_nam,checkpoint-500,dialogue_train_nam_checkpoint-500_80_20250212_205705.json,4,4,4,4,3,4,4,4
6,train_nam,checkpoint-500,dialogue_train_nam_checkpoint-500_81_20250212_205731.json,4,4,4,4,2,1,4,2
1,train_nam,checkpoint-700,dialogue_train_nam_checkpoint-700_76_20250212_205811.json,4,4,4,4,2,2,4,2
2,train_nam,checkpoint-700,dialogue_train_nam_checkpoint-700_77_20250212_205838.json,4,4,4,4,3,3,4,2
3,train_nam,checkpoint-700,dialogue_train_nam_checkpoint-700_78_20250212_205906.json,3,4,4,4,3,4,4,4
4,train_nam,checkpoint-700,dialogue_train_nam_checkpoint-700_79_20250212_205938.json,4,4,4,4,3,3,4,3
5,train_nam,checkpoint-700,dialogue_train_nam_checkpoint-700_80_20250212_210014.json,3,4,4,3,4,4,4,4
6,train_nam,checkpoint-700,dialogue_train_nam_checkpoint-700_81_20250212_210046.json,4,4,4,4,3,2,4,2
1,train_nam,checkpoint-990,dialogue_train_nam_checkpoint-990_76_20250212_210110.json,3,4,4,4,3,4,4,4
2,train_nam,checkpoint-990,dialogue_train_nam_checkpoint-990_77_20250212_210142.json,2,3,4,3,4,3,4,4
3,train_nam,checkpoint-990,dialogue_train_nam_checkpoint-990_78_20250212_210207.json,3,4,4,3,4,4,4,4
4,train_nam,checkpoint-990,dialogue_train_nam_checkpoint-990_79_20250212_210231.json,4,4,4,4,3,3,4,3
5,train_nam,checkpoint-990,dialogue_train_nam_checkpoint-990_80_20250212_210302.json,3,4,3,4,4,4,3,4
6,train_nam,checkpoint-990,dialogue_train_nam_checkpoint-990_81_20250212_210332.json,4,4,4,4,3,3,4,2
