step,loss,learning_rate,epoch
20,,,0.3007518796992481
40,,,0.6015037593984962
50,5.5286,8.08080808080808e-06,0.7518796992481203
60,,,0.9022556390977443
80,,,1.1954887218045114
100,3.8488,1.616161616161616e-05,1.4962406015037595
100,,,1.4962406015037595
120,,,1.7969924812030076
140,,,2.090225563909774
150,2.6283,2.4242424242424244e-05,2.2406015037593985
160,,,2.3909774436090228
180,,,2.6917293233082704
200,2.2812,3.232323232323232e-05,2.992481203007519
200,,,2.992481203007519
220,,,3.2857142857142856
240,,,3.5864661654135337
250,2.1365,4.040404040404041e-05,3.736842105263158
260,,,3.887218045112782
280,,,4.180451127819548
300,2.0537,4.848484848484849e-05,4.481203007518797
300,,,4.481203007518797
320,,,4.7819548872180455
340,,,5.075187969924812
350,1.979,5.656565656565657e-05,5.225563909774436
360,,,5.37593984962406
380,,,5.676691729323308
400,1.9355,6.464646464646465e-05,5.977443609022556
400,,,5.977443609022556
420,,,6.2706766917293235
440,,,6.571428571428571
450,1.8769,7.272727272727273e-05,6.7218045112781954
460,,,6.87218045112782
480,,,7.165413533834586
500,1.8458,7.999776224367661e-05,7.466165413533835
500,,,7.466165413533835
520,,,7.7669172932330826
540,,,8.06015037593985
550,1.7958,7.972953430967773e-05,8.210526315789474
560,,,8.360902255639097
580,,,8.661654135338345
600,1.7586,7.90171914754163e-05,8.962406015037594
600,,,8.962406015037594
620,,,9.25563909774436
640,,,9.556390977443609
650,1.6972,7.786869663480203e-05,9.706766917293233
660,,,9.857142857142858
680,,,10.150375939849624
700,1.6598,7.629688818829578e-05,10.451127819548873
700,,,10.451127819548873
720,,,10.75187969924812
740,,,11.045112781954888
750,1.6228,7.431933652939909e-05,11.19548872180451
760,,,11.345864661654135
780,,,11.646616541353383
800,1.5875,7.195814763476165e-05,11.947368421052632
800,,,11.947368421052632
820,,,12.240601503759398
840,,,12.541353383458647
850,1.5278,6.923971595346687e-05,12.691729323308271
860,,,12.842105263157894
880,,,13.135338345864662
900,1.4865,6.619442935781141e-05,13.436090225563909
900,,,13.436090225563909
920,,,13.736842105263158
940,,,14.030075187969924
950,1.4595,6.28563294537743e-05,14.180451127819548
960,,,14.330827067669173
980,,,14.631578947368421
1000,1.4178,5.926273104838026e-05,14.93233082706767
1000,,,14.93233082706767
1020,,,15.225563909774436
1040,,,15.526315789473685
1050,1.3623,5.5453805027725145e-05,15.676691729323307
1060,,,15.827067669172932
1080,,,16.1203007518797
1100,1.3337,5.1472129308443616e-05,16.42105263157895
1100,,,16.42105263157895
1120,,,16.721804511278194
1140,,,17.015037593984964
1150,1.2999,4.7362212882288815e-05,17.165413533834588
1160,,,17.31578947368421
1180,,,17.616541353383457
1200,1.2634,4.316999827427154e-05,17.917293233082706
1200,,,17.917293233082706
1220,,,18.210526315789473
1240,,,18.51127819548872
1250,1.2246,3.894234797610907e-05,18.661654135338345
1260,,,18.81203007518797
1280,,,19.105263157894736
1300,1.196,3.472652059586559e-05,19.406015037593985
1300,,,19.406015037593985
1320,,,19.706766917293233
1340,,,20.0
1350,1.1687,3.0569642579622905e-05,20.150375939849624
1360,,,20.30075187969925
1380,,,20.601503759398497
1400,1.1383,2.651818141051833e-05,20.902255639097746
1400,,,20.902255639097746
1420,,,21.195488721804512
1440,,,21.49624060150376
1450,1.101,2.261742617397153e-05,21.646616541353385
1460,,,21.796992481203006
1480,,,22.090225563909776
1500,1.0902,1.8910981295579903e-05,22.39097744360902
1500,,,22.39097744360902
1520,,,22.69172932330827
1540,,,22.992481203007518
1550,1.0751,1.5440279110911932e-05,23.13533834586466
1560,,,23.285714285714285
1580,,,23.586466165413533
1600,1.0475,1.2244116715915638e-05,23.887218045112782
1600,,,23.887218045112782
1620,,,24.18045112781955
1640,,,24.481203007518797
1650,1.0372,9.358222275240884e-06,24.63157894736842
1660,,,24.781954887218046
1680,,,25.075187969924812
1700,1.024,6.8148556364785586e-06,25.37593984962406
1700,,,25.37593984962406
1720,,,25.67669172932331
1740,,,25.977443609022558
1750,1.0188,4.642447714833993e-06,26.1203007518797
1760,,,26.270676691729324
1780,,,26.571428571428573
1800,1.0056,2.8652826793570975e-06,26.872180451127818
1800,,,26.872180451127818
1820,,,27.165413533834588
1840,,,27.466165413533833
1850,0.9996,1.5032264933971807e-06,27.616541353383457
1860,,,27.76691729323308
1880,,,28.06015037593985
1900,0.9953,5.71504843781181e-07,28.360902255639097
1900,,,28.360902255639097
1920,,,28.661654135338345
1940,,,28.962406015037594
1950,0.9978,8.053294112462696e-08,29.105263157894736
1960,,,29.25563909774436
1980,,,29.55639097744361
1980,,,29.55639097744361
