step,loss,learning_rate,epoch,perplexity,variance,bias
20,,,0.7547169811320755,153.6722412109375,,
40,,,1.490566037735849,77.29266357421875,,
50,4.8007,2.0512820512820512e-05,1.8679245283018868,,0.0,4.8007
60,,,2.2264150943396226,22.135190963745117,,
80,,,2.981132075471698,12.070280075073242,,
100,2.7026,4.1025641025641023e-05,3.7169811320754715,,1.1005059024999997,3.7516499999999997
100,,,3.7169811320754715,9.287670135498047,,
120,,,4.452830188679245,8.317112922668457,,
140,,,5.188679245283019,7.755825519561768,,
150,2.0341,6.153846153846155e-05,5.566037735849057,,1.311101334444444,3.179133333333333
160,,,5.943396226415095,7.3285298347473145,,
180,,,6.679245283018868,7.041845798492432,,
200,1.8412,7.998558110683542e-05,7.415094339622642,,1.0069119024999995,2.8446499999999997
200,,,7.415094339622642,6.82403564453125,,
220,,,8.150943396226415,6.63160514831543,,
240,,,8.90566037735849,6.540314197540283,,
250,1.6846,7.826785683309702e-05,9.264150943396226,,0.8612582415999995,2.61264
260,,,9.641509433962264,6.525428771972656,,
280,,,10.377358490566039,6.576910018920898,,
300,1.5609,7.38076034217518e-05,11.11320754716981,,0.7681646025,2.43735
300,,,11.11320754716981,6.517370223999023,,
320,,,11.867924528301886,6.660161972045898,,
340,,,12.60377358490566,6.780317783355713,,
350,1.4497,6.69244722971028e-05,12.981132075471699,,0.7166589961224489,2.2962571428571428
360,,,13.339622641509434,6.893771171569824,,
380,,,14.075471698113208,6.994462013244629,,
400,1.3453,5.8111754414785504e-05,14.830188679245284,,0.6923696076562501,2.1773875
400,,,14.830188679245284,7.081593990325928,,
420,,,15.566037735849056,7.354492664337158,,
440,,,16.30188679245283,7.555836200714111,,
450,1.2499,4.8001027751041784e-05,16.67924528301887,,0.6796903211111115,2.0743333333333336
460,,,17.037735849056602,7.562623500823975,,
480,,,17.79245283018868,8.002972602844238,,
500,1.164,3.7316894224359904e-05,18.528301886792452,,0.6712524900000006,1.9833000000000003
500,,,18.528301886792452,8.17945671081543,,
520,,,19.264150943396228,8.428535461425781,,
540,,,20.0,8.470633506774902,,
550,1.0938,2.682504990271682e-05,20.37735849056604,,0.6538927685950416,1.902436363636364
560,,,20.754716981132077,8.678921699523926,,
580,,,21.49056603773585,8.922927856445312,,
600,1.0308,1.7277410130753775e-05,22.22641509433962,,0.6384010000000006,1.8298000000000003
600,,,22.22641509433962,9.170759201049805,,
620,,,22.9811320754717,9.183466911315918,,
640,,,23.71698113207547,9.413524627685547,,
650,0.9864,9.358222275240884e-06,24.07547169811321,,0.6060981813017756,1.7649230769230773
660,,,24.452830188679247,9.586766242980957,,
680,,,25.18867924528302,9.60582447052002,,
700,0.96,3.635028007891048e-06,25.943396226415093,,0.5586494693877556,1.7074285714285717
700,,,25.943396226415093,9.685580253601074,,
720,,,26.67924528301887,9.7349271774292,,
740,,,27.41509433962264,9.743459701538086,,
750,0.9451,5.179894944834863e-07,27.79245283018868,,0.5062417367111115,1.656606666666667
760,,,28.150943396226417,9.7528076171875,,
780,,,28.90566037735849,9.751921653747559,,
780,,,28.90566037735849,,,
